Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Jati H., Irmawati D., Utami P., Destiana B., Sukirman, Hariyanto D.","25825016500;57215948699;57205284958;57209466901;57215538697;55605176200;","Development of an online assessment based on the Shareable Content Object Reference Model (SCORM) to optimize the use of BeSmart UNY",2020,"Journal of Physics: Conference Series","1456","1", 012018,"","",,,"10.1088/1742-6596/1456/1/012018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081101461&doi=10.1088%2f1742-6596%2f1456%2f1%2f012018&partnerID=40&md5=df94dc63c9184f4fc8d6748e8bcd4a0a","Faculty of Engineering, Universitas Negeri, Yogyakarta, Indonesia; Institute of Vocational Education and Vocational Didactics, Faculty of Education, TU Dresden, Germany","Jati, H., Faculty of Engineering, Universitas Negeri, Yogyakarta, Indonesia; Irmawati, D., Faculty of Engineering, Universitas Negeri, Yogyakarta, Indonesia; Utami, P., Faculty of Engineering, Universitas Negeri, Yogyakarta, Indonesia; Destiana, B., Faculty of Engineering, Universitas Negeri, Yogyakarta, Indonesia; Sukirman, Faculty of Engineering, Universitas Negeri, Yogyakarta, Indonesia; Hariyanto, D., Institute of Vocational Education and Vocational Didactics, Faculty of Education, TU Dresden, Germany","This study aimed at developing an Online Assessment based on the Shareable Content Object Reference Model (SCORM) package. This study focused on: (1) obtaining an online assessment design based on SCORM package for the subject of Medical Instrumentation and Electronics based on needs analysis; (2) examining the functionality of the developed online assessment and (3) analyzing the usability of the developed online assessment. This software development process used the ADDIE development model. The testing stage of this study was conducted to verify and to validate the software. The software verification process was performed with functionality testing by media and material experts, and usability testing by users. The results indicated that: (1) it was obtained the design of an online assessment based on SCORM package for the subject of Medical Instrumentation and Electronics, including an online assessment in Besmart packed with SCORM Packages in the form of quiz integration (multiple-choice, short answer, true or false, drag and drop questions); (2) the functionality testing by material experts with a score of 3.88 and a media expert with a score of 4.16 suggested that the developed online assessment was feasible in the aspect of functionality; (3) usability testing by users achieved the score of 3.88 indicating that the developed online assessment was feasible in the aspect of usability. © Published under licence by IOP Publishing Ltd.",,"Integration testing; Software design; Usability engineering; Verification; Development model; Medical instrumentation; Multiple choice; Needs analysis; Object reference; Software development process; Software verification; Usability testing; Electronic assessment",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85081101461
"Cajander Å.","8116545800;","Usability and user's health issues",2020,"Proceedings of the 20th BCS HCI Group Conference: Engage, HCI 2006",,,,"235","236",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083439940&partnerID=40&md5=48438aa5cc0934cbe9acf77c9dfd1b36","Uppsala University, Department of Information Technology, HCI, Lägerhyddsvägen 2, Uppsala, SE-751 05, Sweden","Cajander, Å., Uppsala University, Department of Information Technology, HCI, Lägerhyddsvägen 2, Uppsala, SE-751 05, Sweden","Computer supported work is often stressful and inadequate computer systems and poor usability contribute to the problem. Still the work situation, and work environment of users are seldom considered when developing computer systems. Hence, my research focuses on attitudes about and practices for integrating usability and occupational health issues in IT systems development processes to improve the resulting work situation and well-being of users. The overall goal of the research is to impact software development in practice, hence I do research in real life settings with all the irregularities that occur in such projects. © BCS HCI Group Conference: Engage, HCI 2006.All right reserved.","Action research; Attitudes; HCI; Methods; Models; Perspectives; Usability; User centered system design; Work environment","Industrial hygiene; Social computing; Software design; Health issues; IT system; Occupational health; Research focus; Well being; Work environments; Human computer interaction",Conference Paper,"Final",,Scopus,2-s2.0-85083439940
"Bekele R., Biru T., Sametinger J., Groher I., Pomberger G., Floyd C.","14047985900;57211227874;6507922168;17433896500;22433446600;57213227070;","Adapting ethnography for design research: Lessons learnt from design of mobile systems for rural health care in Ethiopia",2020,"40th International Conference on Information Systems, ICIS 2019",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082298822&partnerID=40&md5=8430981946c4e35e18ca36b97dd05eae","School of Information Science, Addis Ababa University, Addis Ababa, Ethiopia; Mentor Knowledge Solutions PLC, Addis Ababa, Ethiopia; Dept. of Business Informatics, Johannes Kepler University, Linz, Austria; Department of Informatik, University of Hamburg, Hamburg, Germany","Bekele, R., School of Information Science, Addis Ababa University, Addis Ababa, Ethiopia; Biru, T., Mentor Knowledge Solutions PLC, Addis Ababa, Ethiopia; Sametinger, J., Dept. of Business Informatics, Johannes Kepler University, Linz, Austria; Groher, I., Dept. of Business Informatics, Johannes Kepler University, Linz, Austria; Pomberger, G., Dept. of Business Informatics, Johannes Kepler University, Linz, Austria; Floyd, C., Department of Informatik, University of Hamburg, Hamburg, Germany","This paper attempts to address how ethnography can be adapted and customized to design research for software development in resource constrained social settings. Based on the experience from the Technology Enabled Maternal and Child Health Care (TEMACC-Ethiopia) research project, the work reported demonstrates the suitability of a modified ethnography in a design research particularly in mediating the communication between users and programmers, facilitating reflection and communication among users, programmers and stakeholders, transforming field study insights into design artefacts, testing and deploying software tools as well as supporting users in their work places. The practical guidelines that emerged in the course of the research work are presented as lessons learnt. Extending the ethnography to support usability assessment and change management beyond those conducted in this study are also identified for further research. © 40th International Conference on Information Systems, ICIS 2019. All rights reserved.","Design research; Ethnography; Maternal care; Mobile apps for health care","Health care; Information systems; Information use; Software testing; Well testing; Change management; Design research; Ethnography; Maternal care; Mobile apps; Practical guidelines; Rural health care; Usability assessment; Software design",Conference Paper,"Final",,Scopus,2-s2.0-85082298822
"Barbosa C.P., Belian R.B., de Araújo C.M.T.","55697605600;22333658300;57216320459;","Continuing education in the child health handbook: an educational software for primary care1",2020,"Jornal de Pediatria",,,,"","",,,"10.1016/j.jped.2019.12.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083102773&doi=10.1016%2fj.jped.2019.12.003&partnerID=40&md5=a9750ff7b3e8045dc14b9d6edaf07165","Universidade Federal de Pernambuco (UFPE), Programa de Pós-Graduação em Saúde da Criança e do Adolescente, Recife, PE, Brazil","Barbosa, C.P., Universidade Federal de Pernambuco (UFPE), Programa de Pós-Graduação em Saúde da Criança e do Adolescente, Recife, PE, Brazil; Belian, R.B., Universidade Federal de Pernambuco (UFPE), Programa de Pós-Graduação em Saúde da Criança e do Adolescente, Recife, PE, Brazil; de Araújo, C.M.T., Universidade Federal de Pernambuco (UFPE), Programa de Pós-Graduação em Saúde da Criança e do Adolescente, Recife, PE, Brazil","Objective: To present, the process of development and evaluation of an educational software on the Child Health Handbook proposed for the continuing education of primary care nurses and physicians. Methods: Quantitative study of methodological development. For software development, the following steps were followed: definition of objectives; determination of the target audience; choice of pedagogical and theoretical reference for content; content selection and structuring; software development and evaluation by experts (five nurses and four physicians). All responded to an instrument that included four domains: pedagogical; content; functionality; system presentation and usability. The evaluation criteria were arranged on a Likert-type scale. The percentage of agreement and Content Validity Index were used for the quantitative analysis of the degree of agreement, considering a Content Validity Index cutoff point equal to 0.80. Results: The overall agreement index, calculated by the arithmetic mean of the Contents Validity Index of the evaluated domains, was 0.96, with scores ranging from 0.90 to 1.00. The average percentage of agreement of the experts per domain was 92.86%, with lower agreement in the content (80.95%), presentation, and usability (90.48%) domains. 100% of percentage of agreement was observed in the pedagogical and functionality domains among the evaluated specialists. Conclusion: The percentage of agreement, Content Validity Index and overall agreement index of the Child Health Handbook educational software in the context of primary care disclosed the software adequacy as an educational resource for continuing education of primary care nurses and physicians. Considering the assessed dimensions, it can also be used by other health professionals and undergraduate students. © 2020","Child health; Educational technology; Primary health care; Professional qualification; Validation of computer software","arithmetic; article; child health; content validity; continuing education; doctor nurse relation; educational technology; female; human; human experiment; Likert scale; male; primary health care; quantitative analysis; software; theoretical study; undergraduate student",Article,"Article in Press",Open Access,Scopus,2-s2.0-85083102773
"Wang Y., Ijaz K., Yuan D., Calvo R.A.","57191287049;10939460500;57215199654;8957803600;","VR-Rides: An object-oriented application framework for immersive virtual reality exergames",2020,"Software - Practice and Experience",,,,"","",,,"10.1002/spe.2814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080090934&doi=10.1002%2fspe.2814&partnerID=40&md5=0d401e11e5ce70c1607a40ae407d360b","School of Electrical and Information Engineering, The University of Sydney, Sydney, Australia; School of Computer Science, Southwest Petroleum University, Chengdu, China; Australian Institute of Health Innovation, Macquarie University, Sydney, Australia; Dyson School of Design Engineering, Imperial College London, London, United Kingdom","Wang, Y., School of Electrical and Information Engineering, The University of Sydney, Sydney, Australia, School of Computer Science, Southwest Petroleum University, Chengdu, China; Ijaz, K., School of Electrical and Information Engineering, The University of Sydney, Sydney, Australia, Australian Institute of Health Innovation, Macquarie University, Sydney, Australia; Yuan, D., School of Electrical and Information Engineering, The University of Sydney, Sydney, Australia; Calvo, R.A., School of Electrical and Information Engineering, The University of Sydney, Sydney, Australia, Dyson School of Design Engineering, Imperial College London, London, United Kingdom","Exercise can improve health and well-being. With this in mind, immersive virtual reality (VR) games are being developed to promote physical activity, and are generally evaluated through user studies. However, building such applications is time consuming and expensive. This paper introduces VR-Rides, an object-oriented application framework focused on the development of experiment-oriented VR exergames. Following the modular programming pattern, this framework facilitates the integration of different hardware (such as VR devices, sensors, and physical activity devices) within immersive VR experiences that overlay game narratives on Google Street View panoramas. Combining software engineering and interaction patterns, modules of VR-Rides can be easily added and managed in the Unity game engine. We evaluate the code efficiency and development effort across our VR exergames developed using VR-Rides. The reliability, maintainability, and usability of our framework are also demonstrated via code metrics analysis and user studies. The results show that investing in a systematic approach to reusing code and design can be a worthwhile effort for researchers beyond software engineering. © 2020 John Wiley & Sons, Ltd.","code reuse; exergame; immersive virtual reality; object-oriented application framework; reusable component; Unity","Computer software reusability; Reliability analysis; Virtual reality; Code reuse; exergame; Immersive virtual reality; Object oriented application; Reusable components; Unity; Object oriented programming",Article,"Article in Press",,Scopus,2-s2.0-85080090934
"Sik-Lanyi C., Orbán-Mihálykó É.","55917669900;6506619894;","Accessibility Testing of European Health-Related Websites",2019,"Arabian Journal for Science and Engineering","44","11",,"9171","9190",,,"10.1007/s13369-019-04017-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068847464&doi=10.1007%2fs13369-019-04017-z&partnerID=40&md5=6c4dde2b78a0b7241cd9ab1f26f4ae6a","Department of Electrical Engineering and Information Systems, University of Pannonia, Egyetem u. 10, Veszprem, 8200, Hungary; Department of Mathematics, University of Pannonia, Egyetem u. 10, Veszprem, 8200, Hungary","Sik-Lanyi, C., Department of Electrical Engineering and Information Systems, University of Pannonia, Egyetem u. 10, Veszprem, 8200, Hungary; Orbán-Mihálykó, É., Department of Mathematics, University of Pannonia, Egyetem u. 10, Veszprem, 8200, Hungary","The current development of the Internet and its growing use make it necessary to satisfy the needs of users with disabilities. The primary objective of this study is to examine healthcare-related websites in nine European countries in order to evaluate the status of their accessibility. Such a detailed statistical comparison has not yet been made in Europe, especially as the present study offers a dual measurement system combining both the application of automated testing software and statistical analysis of user feedback. The study compares 48 websites from Eastern Europe with 51 sites from Western and Northern Europe. The research phase was performed in three steps: firstly by using AChecker, secondly by Nibbler and subsequently followed by user feedback questionnaires evaluated by a group of experts. The overall goal of this study is to determine the most common accessibility problems and to draw site owners’ attention to shortcomings so that they can improve the quality of service of their healthcare-related sites in the future. The investigated European websites are grouped into Eastern and Western–Northern countries. We compared our results from different perspectives and ascertained that no significant differences can be established between the two groups predicated on their respective economic situations. Equally, no correlations were observed while comparing the sizes of web pages in Kbytes, the number of barriers and their Nibbler accessibility scores. Furthermore, there appears to be no correlation between the results of the software tests and the percentage of the elderly population in the respective country. © 2019, The Author(s).","Computer science; Software engineering; Testing tools; Usability testing; WCAG 2.0; Web design",,Article,"Final",Open Access,Scopus,2-s2.0-85068847464
"Al Kilani N., Tailakh R., Hanani A.","57213518665;57213519517;42061541700;","Automatic Classification of Apps Reviews for Requirement Engineering: Exploring the Customers Need from Healthcare Applications",2019,"2019 6th International Conference on Social Networks Analysis, Management and Security, SNAMS 2019",,, 8931820,"541","548",,,"10.1109/SNAMS.2019.8931820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077823538&doi=10.1109%2fSNAMS.2019.8931820&partnerID=40&md5=2a11c767a0a2f7cf49991fa10a10c122","Birzeit University, Palestine; University of Bedfordshire, United Kingdom","Al Kilani, N., Birzeit University, Palestine; Tailakh, R., University of Bedfordshire, United Kingdom; Hanani, A., Birzeit University, Palestine","In one year, more than 6.5 million mobile applications have been listed for download on the application stores. That is, they are used by millions (or billions) of users across the world. Users express their daily experience of applications as reviews on those stores. This experience may include reporting bugs, demanding new features, posting feedback with regards to performance, reporting security issues, demanding user interface enhancements, and other needs. Interestingly, reviews could contain valuable information for the interest of application vendors and developers. However, the volume of such data is as huge, that is, traditional searching algorithms may not be efficient in extracting such useful information. Machine learning and data mining techniques are one of the popularly used algorithms to efficiently extracting significant information for Software Requirement Engineering; a key phase in the Software Engineering Life Cycle. In this paper, we experience machine learning algorithms and natural language processing techniques to classify a set of reviews about healthcare-domain applications into multiple types of categories such as bug reports, new feature requests, application performance, and user interface. For this purpose, we could extract more than 7500 reviews of ten different health-related mobile applications. More importantly, those reviews were annotated manually by software experts. In our experiments, we use the Weka tool employing different machine learning algorithms. We will also show what algorithms and features will perform better; in terms of accuracy using different evaluation metrics, when classifying reviews about mobile apps into various classes; bugs, new features, sentimental, general bug, usability, security, and performance. Moreover, the conducted experiments show that the overall performance improves when we use the data subset with highly confident labeling; when two experts agree on the same class. For the imbalanced-data problem, this research will show the effect of applying resampling techniques on improving classification accuracy as well. © 2019 IEEE.","Data Annotation; Requirements Engineering; Supervised Machine Learning; Text Classification; User's Reviews","Classification (of information); Data mining; Engineering education; Health care; Life cycle; Machine learning; Mobile computing; Natural language processing systems; Network security; Requirements engineering; Software engineering; Supervised learning; Text processing; User interfaces; Automatic classification; Classification accuracy; Data annotation; Imbalanced data problems; NAtural language processing; Software engineering life-cycle; Supervised machine learning; Text classification; Learning algorithms",Conference Paper,"Final",,Scopus,2-s2.0-85077823538
"Värri A., Kranz-Zuppan P., De La Cruz R.","6701812565;57210790157;57210809966;","IEC 62304 ed. 2: Software life cycle standard for health software",2019,"Studies in Health Technology and Informatics","264",,,"868","872",,,"10.3233/SHTI190347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071512928&doi=10.3233%2fSHTI190347&partnerID=40&md5=da4a065fa7c7659403b57262ae15761e","Medtronic, plc, Mounds View, MN, United States; Silver Lake Group, Inc. (SLGI), Minnetonka, MN, United States; Tampere University, Korkeakoulunkatu 3, Tampere, FI-33720, Finland","Värri, A., Tampere University, Korkeakoulunkatu 3, Tampere, FI-33720, Finland; Kranz-Zuppan, P., Medtronic, plc, Mounds View, MN, United States; De La Cruz, R., Silver Lake Group, Inc. (SLGI), Minnetonka, MN, United States","The quality of software is high in medical devices due to the strict regulatory requirements and their implementation in the software development processes through the use of the IEC 62304 standard. The goal of this standard revision project was to extend the scope of the standard to all health software and also to bring the requirements of the 12 year old standard back to the state-of-the-art including provisions for cybersecurity. The joint IEC/SC62A and ISO/TC215 project team revised the standard and adapted its risk management, usability, and security requirements to serve both the medical device industry and the overall health software industry. The resulting second version of the standard has gone through a multistage global voting process to achieve a consensus of the requirements to serve both these communities. The resulting standard has potential to have a major impact on the quality of software used in health care globally. © 2019 International Medical Informatics Association (IMIA) and IOS Press.","Health Care Technology; Software Engineering; Standards","Health care; Health risks; Human resource management; Life cycle; Project management; Risk management; Software design; Software engineering; Standards; Healthcare technology; Medical device industry; Quality of softwares; Regulatory requirements; Security requirements; Software development process; Software life cycles; Standard revisions; Medical informatics; conference paper; human; life cycle; school child; software; computer security; health care delivery; risk management; Computer Security; Delivery of Health Care; Risk Management; Software",Conference Paper,"Final",,Scopus,2-s2.0-85071512928
"Ehrler F., Lovis1 C., Blondon K.","22634033200;57209477975;24483102300;","A mobile phone app for bedside nursing care: Design and development using an adapted software development life cycle model",2019,"Journal of Medical Internet Research","21","4", e12551,"","",,,"10.2196/12551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067875326&doi=10.2196%2f12551&partnerID=40&md5=b57e38af306596e6c780b1fbf24c1de2","Division of Medical Information Sciences, University Hospitals of Geneva, 4, Gabrielle-Perret-Gentil, Geneva, 1205, Switzerland; Faculty of Medicine, University of Geneva, Geneva, Switzerland; University Hospitals of Geneva, Geneva, Switzerland","Ehrler, F., Division of Medical Information Sciences, University Hospitals of Geneva, 4, Gabrielle-Perret-Gentil, Geneva, 1205, Switzerland; Lovis1, C., Faculty of Medicine, University of Geneva, Geneva, Switzerland; Blondon, K., University Hospitals of Geneva, Geneva, Switzerland","Background: Nurses are increasingly spending time on computers, and providing them with a tailored tool to access clinical information and perform documentation at the bedside could help to improve their efficiency. Designing an app to support nurses' work at the bedside is a challenging task, given the complexity of the care process. Objective: This study aimed to present the design, development, and testing of a smartphone app for nurses guided by an adapted software development life cycle model that takes into consideration the complexity and constraints of a health care setting. Methods: The model drives us through an iterative development process intersected by 3 stages of formative evaluation of growing ecological validity. Results: The initial requirements identification stage included 11 participants who helped us select the most important functionalities to integrate into the tool. Starting with a usability evaluation allowed for the identification of design issues that could have caused misuse. Then, making on-site evaluations under the supervision of an investigator helped to understand the adequacy of the tool with limited risks. Finally, the on-site evaluation allowed us to validate the acceptance of the app by caregivers. Conclusions: The interpretation of the collected evaluation confirms the necessary involvement of end users early in the process to help address the heterogeneity of the nursing workflow processes in the different wards. We also highlight the delicate balance between high-security measures to protect access to patient data and maintaining ease of access for efficiency and usability. Although a close collaboration with clinicians throughout the entire project facilitated the development of a tailored solution, it was also important to involve all stakeholders, in particular, the information technology (IT) security officers. © 2019 Journal of Medical Internet Research. All rights reserved.","Hospital information systems; Mhealth; Nursing",,Article,"Final",Open Access,Scopus,2-s2.0-85067875326
"Pinter C., Lasso A., Fichtinger G.","54385777900;25030035000;6602161432;","Polymorph segmentation representation for medical image computing",2019,"Computer Methods and Programs in Biomedicine","171",,,"19","26",,,"10.1016/j.cmpb.2019.02.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061893372&doi=10.1016%2fj.cmpb.2019.02.011&partnerID=40&md5=4becaf5ef39cbce0fd1e0f66b879ac1b","Laboratory for Percutaneous Surgery, School of Computing, Queen's University, 557 Goodwin Hall, Kingston, Ontario  K7L 2N8, Canada","Pinter, C., Laboratory for Percutaneous Surgery, School of Computing, Queen's University, 557 Goodwin Hall, Kingston, Ontario  K7L 2N8, Canada; Lasso, A., Laboratory for Percutaneous Surgery, School of Computing, Queen's University, 557 Goodwin Hall, Kingston, Ontario  K7L 2N8, Canada; Fichtinger, G., Laboratory for Percutaneous Surgery, School of Computing, Queen's University, 557 Goodwin Hall, Kingston, Ontario  K7L 2N8, Canada","Background and objective: Segmentation is a ubiquitous operation in medical image computing. Various data representations can describe segmentation results, such as labelmap volumes or surface models. Conversions between them are often required, which typically include complex data processing steps. We identified four challenges related to managing multiple representations: conversion method selection, data provenance, data consistency, and coherence of in-memory objects. Methods: A complex data container preserves identity and provenance of the contained representations and ensures data coherence. Conversions are executed automatically on-demand. A graph containing the implemented conversion algorithms determines each execution, ensuring consistency between various representations. The design and implementation of a software library are proposed, in order to provide a readily usable software tool to manage segmentation data in multiple data representations. A low-level core library called PolySeg implemented in the Visualization Toolkit (VTK) manages the data objects and conversions. It is used by a high-level application layer, which has been implemented in the medical image visualization and analysis platform 3D Slicer. The application layer provides advanced visualization, transformation, interoperability, and other functions. Results: The core conversion algorithms comprising the graph were validated. Several applications were implemented based on the library, demonstrating advantages in terms of usability and ease of software development in each case. The Segment Editor application provides fast, comprehensive, and easy-to-use manual and semi-automatic segmentation workflows. Clinical applications for gel dosimetry, external beam planning, and MRI-ultrasound image fusion in brachytherapy were rapidly prototyped resulting robust applications that are already in use in clinical research. The conversion algorithms were found to be accurate and reliable using these applications. Conclusions: A generic software library has been designed and developed for automatic management of multiple data formats in segmentation tasks. It enhances both user and developer experience, enabling fast and convenient manual workflows and quicker and more robust software prototyping. The software's BSD-style open-source license allows complete freedom of use of the library. © 2019 Elsevier B.V.","3D Slicer; DICOM; Open-source; Segmentation; Software library; Voxelization","Application programs; Clinical research; Data handling; Data visualization; Image fusion; Image segmentation; Magnetic resonance imaging; Medical computing; Medical image processing; Open source software; Open systems; Software design; Three dimensional computer graphics; Ubiquitous computing; Visualization; 3-D slicer; DICOM; Open sources; Software libraries; Voxelization; Software prototyping; algorithm; Article; brachytherapy; clinical research; comparative study; computer analysis; data analysis software; diagnostic imaging; digital imaging and communications in medicine; dosimetry; external beam radiotherapy; human; image analysis; image segmentation; nuclear magnetic resonance imaging; prostate biopsy; prostate cancer; stereolithography; tumor biopsy; computer assisted diagnosis; computer graphics; diagnostic imaging; image processing; procedures; software; three dimensional imaging; Algorithms; Computer Graphics; Diagnostic Imaging; Humans; Image Interpretation, Computer-Assisted; Image Processing, Computer-Assisted; Imaging, Three-Dimensional; Magnetic Resonance Imaging; Software",Article,"Final",,Scopus,2-s2.0-85061893372
